l,r,eff,q,s,w
0.0,0.0,0.3141592653589793,0.0,0.0,0.0
32.0570678937734,32.05157757165517,0.3139978554180341,1.5808563665915885,30.47621152718181,10.06913541409332
64.1141357875468,64.0702199807129,0.3135137914548238,3.1552167346260327,60.95891905292077,20.127925119904912
96.1712036813202,96.02302590768174,0.3127075708777926,4.716611797700113,91.45459188362008,30.166034030844493
128.2282715750936,127.87716168450599,0.31158002213308295,6.258625524055781,121.96964605103781,40.173148292872746
160.285339468867,159.5998950333792,0.3101323038532507,7.774921520196339,152.51041794867066,50.13898587370762
192.3424073626404,191.1586287013723,0.30836590366669214,9.259269067313905,183.08313829532648,60.05330711957666
224.39947525641378,222.52093395631437,0.3062826366690052,10.705568723557985,213.6939065328558,69.90592526874619
256.4565431501872,253.65458390950735,0.303884643557856,12.10787738695774,244.34866576322946,79.68671691109977
288.51361104396057,284.52758663103236,0.30117438843326727,13.460432716025224,275.05317832793537,89.38563238309
320.570678937734,315.1082180236207,0.29815465626558896,14.757676807704456,305.81300213002953,98.9927060874511
352.62774683150735,345.36505442130755,0.2948285500337533,15.994279035380774,336.6334677961266,108.498066727131
384.6848147252808,375.2670048793741,0.2911994875367535,17.16515795311423,367.5196567721665,117.8919474429863
416.74188261905414,404.7833431223938,0.287271197881625,18.26550217609526,398.4763804429589,127.16469584487459
448.79895051282756,433.8837391175581,0.28304771765153525,19.2907901515254,429.50816036130215,136.30678392588462
480.8560184066009,462.5382902408352,0.2785333867579224,20.23680873868243,460.6192096679185,145.3088178495553
512.9130863003744,490.71755200393784,0.2737328439809419,21.09967052182014,491.81341577855426,154.16154760006063
544.9701541941478,518.3925683105249,0.26865102220280734,21.875829784757094,523.0943244093907,162.8558764854689
577.0272220879211,545.5349012105486,0.26329314333891984,22.56209708150567,554.4651250064155,171.38287048433057
609.0842899816946,572.1166601221696,0.2576647129719974,23.155652343059074,585.9286376386356,179.73376742599856
641.141357875468,598.110530491216,0.2517715146947161,23.65405646646708,617.4873014090009,187.8999859952518
673.1984257692413,623.4898018587335,0.245619604166678,24.055261338565277,649.143164430676,195.8731345519619
705.2554936630147,648.2283953077883,0.23921530289181125,24.35761825315321,680.8978754098615,203.64501975672735
737.3125615567881,672.3008902613167,0.2325651917225978,24.559884687016275,712.7526768697718,211.20765499358882
769.3696294505615,695.6825506034863,0.22567610409780234,24.661229406929046,744.7084000436325,218.55326858114145
801.4266973443349,718.3493500977274,0.21855511902065228,24.661235886634135,776.7654614577008,225.6743117635693
833.4837652381083,740.2779970753155,0.21120955378468306,24.559904019735182,808.9238612183731,232.5634664733457
865.5408331318818,761.4459583691345,0.2036469564547248,24.35765012144389,841.1831830104379,239.2136528575704
897.5979010256551,781.8314824680297,0.19587509811075535,24.055305219152377,873.5425958065027,245.61803656015206
929.6549689194285,801.4136218679566,0.1879019648625898,23.65411163883396,906.0008572805946,251.77003575228852
961.7120368132018,820.1722545969558,0.17973574964361372,23.155717901278656,938.5563189119232,257.66332790394904
993.7691047069753,838.0881048918407,0.17138484379198934,22.56217194911556,971.2069327578598,263.291856289328
1025.8261726007488,855.1427630053461,0.16285782842798913,21.87591273243501,1003.9502598683138,268.6498362195027
1057.8832404945222,871.3187041233894,0.15416346563631383,21.099760187569167,1036.783480306953,273.7317609958108
1089.9403083882955,886.599306373,0.1453106894624592,20.236903650194943,1069.7034047381005,278.5324075777424
1121.997376282069,900.9688679024191,0.13630859673237913,19.290888750358146,1102.7064875317108,283.046841959436
1154.0544441758423,914.4126230158124,0.12716643770488298,18.265602843258918,1135.7888413325834,287.27042424916397
1186.1115120696156,926.9167573460218,0.1178936065663687,17.165259035657087,1168.9462530339586,291.1988134465004
1218.1685799633892,938.4684220497604,0.1084996317776619,15.994378873530158,1202.174201089859,294.82797191217213
1250.2256478571626,949.0557470106686,0.09899416628287783,14.757773762120161,1235.4678740950424,298.1541695259147
1282.282715750936,958.6678530366606,0.0893869775903685,13.46052519471743,1268.8221905562186,301.1739875279748
1314.3397836447093,967.2948630390293,0.07968793773594852,12.107963871427565,1302.2318197732818,303.8843220402303
1346.3968515384827,974.9279121818237,0.06990701313870963,10.705647793731195,1335.6912037447514,306.2823872632333
1378.453919432256,981.5591569910654,0.06005425435985295,9.259339424858712,1369.1945800073972,308.36571834581605
1410.5109873260294,987.18178341445,0.050139785775056823,7.774982009842048,1402.7360053161874,310.13217392424576
1442.5680552198028,991.790013823246,0.04017379517099604,6.258675152562322,1436.3093800672405,311.5799383282568
1474.6251231135761,995.3791129491981,0.030166523276704004,4.716649750167281,1469.9084733634088,312.7075234516388
1506.6821910073497,997.9453927503363,0.020128253240529248,3.1552423878740465,1503.5269486194757,313.5137702854126
1538.739258901123,999.4862162006879,0.010069300063507574,1.5808692993939362,1537.1583896017291,313.9978501119785
1570.7963267948965,1000.0,0.0,0.0,1570.7963267948965,314.1592653589793
